Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35124945,Сердце зверя. Синий взгляд смерти. Рассвет. Часть первая,Vera Kamsha,"Kamsha, Vera",,"=""""","=""9785699967865""",1,3.32,ИЗДАТЕЛЬСТВО «ЭКСМО»,Hardcover,608,2017,,2017/09/14,2017/06/28,,,read,,,,1,,,0,,,,,
16043916,Медный король,Marina Dyachenko,"Dyachenko, Marina","Sergey Dyachenko, Marina Dyachenko","=""""","=""9785699259748""",0,4.21,Эксмо,Hardcover,544,2008,2008,,2017/09/10,to-read,to-read (#127),to-read,,,,0,,,0,,,,,
4004,The Pilgrimage,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0722534876""","=""9780722534878""",0,3.65,Thorsons,Paperback,226,1997,1987,,2017/07/14,to-read,to-read (#126),to-read,,,,0,,,0,,,,,
128534,Off the Road: A Modern-Day Walk Down the Pilgrim's Route into Spain,Jack Hitt,"Hitt, Jack",,"=""0743261119""","=""9780743261111""",0,3.68,Simon  Schuster,Paperback,272,2005,1994,,2017/07/14,to-read,to-read (#125),to-read,,,,0,,,0,,,,,
1812661,"Lux perpetua (Trylogia husycka, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8370541895""","=""9788370541897""",0,4.09,SuperNOWA,Paperback,608,2006,2006,,2017/06/23,to-read,to-read (#124),to-read,,,,0,,,0,,,,,
1812654,"Boży bojownicy (Trylogia husycka, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej","Barbara Samborska, Евгений Вайсброт","=""8370541674""","=""9788370541675""",0,4.15,SuperNOWA,Paperback,635,2004,2004,,2017/06/23,to-read,to-read (#123),to-read,,,,0,,,0,,,,,
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",0,3.76,Free Press,Hardcover,276,2008,2008,,2017/06/08,to-read,to-read (#122),to-read,,,,0,,,0,,,,,
210834,Kim,Rudyard Kipling,"Kipling, Rudyard",Martha,"=""0140183523""","=""9780140183528""",0,3.71,Penguin Classics,Mass Market Paperback,366,1981,1901,,2017/06/08,to-read,to-read (#121),to-read,,,,0,,,0,,,,,
25548163,"Тартюф, или Обманщик",Molière,"Molière, Molière",Владимир Сергеевич Лихачев,"=""""","=""""",0,3.66,Общественное достояние,Kindle Edition,125,,1664,,2017/02/16,to-read,to-read (#120),to-read,,,,0,,,0,,,,,
22019477,Разбойники,Friedrich Schiller,"Schiller, Friedrich",Фридрих Шиллер,"=""""","=""""",0,3.51,,,,,1781,,2017/02/16,to-read,to-read (#119),to-read,,,,0,,,0,,,,,
18525,Dr. Faustus,Christopher Marlowe,"Marlowe, Christopher",,"=""0486282082""","=""9780486282084""",0,3.80,Dover Publications,Paperback,64,1994,1588,,2017/02/16,to-read,to-read (#118),to-read,,,,0,,,0,,,,,
243705,The Collector,John Fowles,"Fowles, John",,"=""""","=""""",0,3.99,Vintage,Paperback,283,1998,1963,,2017/02/16,to-read,to-read (#117),to-read,,,,0,,,0,,,,,
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",0,4.44,Del Rey,ebook,430,2015,2015,,2017/02/12,to-read,to-read (#116),to-read,,,,0,,,0,,,,,
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.25,Del Rey,Hardcover,382,2014,2014,,2017/02/12,to-read,to-read (#115),to-read,,,,0,,,0,,,,,
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",0,4.48,Del Rey,Hardcover,524,2016,2016,,2017/02/12,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",H.T. Willetts,"=""""","=""""",0,3.97,"Farrar, Straus and Giroux",Paperback,182,2005,1962,,2017/01/10,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
33410796,Ruby Web Dev: The Other Way,Ievgen Kuzminov,"Kuzminov, Ievgen",,"=""""","=""""",2,2.00,,ebook,,,,2017/01/07,2017/01/04,,,read,,,,1,,,0,,,,,
25451264,Death's End (Remembrance of Earth’s Past #3),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",0,4.42,TOR,Hardcover,604,2016,2010,,2017/01/01,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
7930050,Недоросль,Denis Fonvizin,"Fonvizin, Denis",,"=""""","=""9785911818470""",3,3.64,Азбука,Paperback,320,2008,1782,,2016/09/01,,,read,,,,1,,,0,,,,,
16134563,Гранатовый Браслет,Aleksandr Kuprin,"Kuprin, Aleksandr",Aleksandr Kuprin,"=""5255016470""","=""9785255016471""",2,3.94,Профиздат,Hardcover,384,2008,1910,,2016/09/01,,,read,,,,1,,,0,,,,,
6664524,Матренин двор,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Александр Солженицын,"=""5080048964""","=""9785080048968""",3,3.90,Детская литература,Hardcover,224,2011,1963,,2016/09/01,,,read,,,,1,,,0,,,,,
6978039,Сердце Пармы,Aleksej Ivanov,"Ivanov, Aleksej",,"=""535201679X""","=""9785352016794""",0,4.44,Азбука-классика,Hardcover,576,2006,2003,,2016/05/28,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,,2016/05/28,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.84,Tor Books,Paperback,1006,2006,2004,,2016/05/28,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
4703581,The City & the City,China Miéville,"Miéville, China",,"=""0345497511""","=""9780345497512""",0,3.90,Del Rey/Ballantine Books,Hardcover,312,2009,2009,,2016/05/28,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
39063,"Titus Groan (Gormenghast, #1)",Mervyn Peake,"Peake, Mervyn",Rupert Degas,"=""0879514256""","=""9780879514259""",0,3.91,Overlook Press,Paperback,396,1991,1946,,2016/05/28,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
250,"Tropic of Capricorn (Tropic, #2)",Henry Miller,"Miller, Henry",,"=""0802151825""","=""9780802151827""",0,3.81,Grove Press,Paperback,348,1994,1939,,2016/05/22,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",0,3.90,HarperCollins,Paperback,197,1993,1988,,2016/05/22,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
34494,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060012382""","=""9780060012380""",2,4.27,HarperTrophy,Mass Market Paperback,375,2004,2003,2015/07/03,2014/12/25,,,read,,,,1,,,0,,,,,
974013,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston","=""009928362X""","=""9780099283621""",1,4.11,Vintage Classics,Paperback,530,2000,1943,2016/04/14,2015/12/16,,,read,,,,1,,,0,,,,,
17671643,Das Märchen von dem Myrtenfräulein,Clemens Brentano,"Brentano, Clemens",,"=""""","=""""",2,4.00,Project Gutenberg,ebook,,2000,2000,2016/04/21,2016/04/21,,,read,,,,1,,,0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",0,4.26,HarperCollins,Paperback,767,2014,1956,,2016/04/14,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
34440,Doctor Faustus,Thomas Mann,"Mann, Thomas",John E. Woods,"=""0375701168""","=""9780375701160""",0,4.09,Vintage,Paperback,535,1999,1947,,2016/03/22,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
80890,Buddenbrooks: The Decline of a Family,Thomas Mann,"Mann, Thomas","T.J. Reed, John E. Woods","=""0679417370""","=""9780679417378""",0,4.18,Everyman's Library,Hardcover,731,1994,1901,,2016/03/22,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
527756,The Man Without Qualities,Robert Musil,"Musil, Robert","Burton Pike, Sophie Wilkins","=""0330349422""","=""9780330349420""",0,4.20,Alfred A. Knopf,Paperback,1774,1995,1930,,2016/03/22,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
521118,No Orchids for Miss Blandish (Blandish's Orchids and Dave Fenner #1),James Hadley Chase,"Chase, James Hadley",,"=""0709062672""","=""9780709062677""",0,3.75,Robert Hale,Hardcover,189,1998,1939,,2016/03/22,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
580449,The Resistible Rise of Arturo Ui,Bertolt Brecht,"Brecht, Bertolt",,"=""1559705434""","=""9781559705431""",0,3.83,Arcade Publishing,Paperback,125,2001,1941,,2016/03/22,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
69880,The Lost Honor of Katharina Blum,Heinrich Böll,"Böll, Heinrich",Leila Vennewitz,"=""0140187286""","=""9780140187281""",0,3.69,Penguin Classics,Paperback,140,1994,1974,,2016/03/22,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
83017,The Tartar Steppe,Dino Buzzati,"Buzzati, Dino",Stuart Hood,"=""1567923046""","=""9781567923049""",0,4.19,Verba Mundi,Paperback,198,2005,1940,,2016/03/22,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",Alfred Liebfeld,"=""067001690X""","=""9780670016907""",0,3.99,Viking,Hardcover,479,2014,1939,,2016/03/22,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
